Year,Cases
1928,483337
1929,339061
1930,384597
1931,438435
1932,390114
1933,380394
1934,727096
1935,721002
1936,280942
1937,293855
1938,820087
1939,427103
1940,288894
1941,755498
1942,486852
1943,552889
1944,533679
1945,146822
1946,615723
1947,211679
1948,508435
1949,606202
1950,301379
1951,502859
1952,588052
1953,433993
1954,686492
1955,529705
1956,616050
1957,460821
1958,707368
1959,374503
1960,432221
1961,402551
1962,476141
1963,332057
1964,431259
1965,264303
1966,201064
1967,59258
1968,22879
1969,24190
1970,45697
1971,71878
1972,30121
1973,25657
1974,21072
1975,23845
1976,39001
1977,49654
1978,26884
1979,12781
1980,13047
1981,2947
1982,1709
1983,1182
1984,2200
1985,2415
1986,5725
1987,3192
1988,2851
1989,15227
1990,21734
1991,8122
1992,1840
1993,213
1994,689
1995,214
1996,465
1997,533
1998,58
1999,61
2000,56
2001,73
2002,14
